b,ER,Scale-Free
1.05,0.9970851249999985,0.9784376250000001
1.1,0.9978770937499991,0.9792869218749999
1.15,0.9941655468749968,0.9438386093749997
1.2,0.6966209843749996,0.973429625
1.25,0.4326828281250001,0.9423629062499999
1.3,0.3122075625,0.9293590781249996
1.35,0.24239284374999995,0.9214448437499998
1.4,0.18584809374999994,0.8950994687499998
1.45,0.1378963125,0.9016225624999998
1.5,0.0954611875,0.8487977656249992
1.55,0.04399959375000001,0.8200692031249996
1.6,0.014460343749999983,0.8329387968749996
1.65,0.0042065000000000045,0.7571201718749991
1.7000000000000002,0.0025048593750000027,0.6823582499999995
1.75,0.00031996875000000097,0.58849121875
1.8,0.0008319375000000043,0.38077399999999995
1.85,0.00023482812500000223,0.28777995312500015
1.9,0.00033804687500000273,0.16443457812499995
1.9500000000000002,0.0005066875000000058,0.07328318750000004
2.0,0.0015625000000000183,0.02548350000000002
